title,subtitle,message,label
come test round,finished lunch already wake already test,test pa lunch aha,1
sorry ill call later test,test rather prominent bite mark right cheek,made day great day test,1
cash prize claim call,cash prize claim call,cash prize claim call,1
home,home,home,1
going sleep tired travel,going sleep tired travel,going sleep tired travel,1
AdpNepilbgH,DXmNaRIWSVSRh,iZCXLVOSGKLIE,1
yes nigh test cant aha,test sorry ill call later,lunch come quickly open door test,1
fine thanks,lovely night wake see message hope smile knowing great morning,dude go sup,0
yes fine love test safe,wait inside da car park test,test one talking,1
test dont know bring food,alright new goal test,,1
shall come test get pickle,,,1
hen night going swing test,one small prestige problem test,see half hour test,1
EQBncD,LydWN,hTqbYDKZUJ,1
ya came ago,still grinder,stuff sell ill tell,0
sorry de went shop,sorry de went shop,sorry de went shop,1
hBRoiLFbNxk,FDMJtpOIdwZo,XwgxRllTrTNl,1
take,take,take,1
reassuring crazy world test,test open door,happen dear tell test,1
uSrHnUaWl,LBJSkpyUAY,ljGqH,1
,,think wrong number test,1
uEdKYPT,IEYbx,ZfAIEMPrdPwhGY,1
test mostly like,test come home dont want miserable,test arent coming home class right need work shower,1
nice,nice,nice,1
EZhCrsnOFDwfUK,rjMEFHbcMqxp,wfQVYt,1
,sorry ill call later test,,1
also,also,also,1
whats ur pin,dont want hear anything,got smaller capacity one quite ex,0
,test sorry ill call later,,1
,,test well leave class babe never came back hope nice sleep love,1
yes,yes,yes,1
want,want,want,1
test said matter mind saying matter,,cool time think get test,1
apart one told yesterday,apart one told yesterday,apart one told yesterday,1
,test plan manage,coming funeral home test,1
hey happy birthday,tell need investigate anywhere,finished work yet something,0
wont move morphine,going take bath ill place key window,plan manage,0
love,love,love,1
PdJvlimulgQXU,ZHPAIWqkvQkH,hfIhym,1
actually decided hungry havent left yet,happy sad one thing past good morning,also tell said happy birthday,0
great safe trip dont panic surrender,dont think get away trek long family town sorry,great princess thinking,0
know,know,know,1
sure,sure,sure,1
dint,dint,dint,1
waiting,waiting,waiting,1
hi hope good day better night,coffee cake guess,finished lunch already  wake already,0
say bold torch later one torch test bold,test want lick pussy,good think could send pix would love see top bottom test,1
well might come,sorry ill call later,oh really perform write paper go movie home midnight huh,0
yes,yes,yes,1
wasnt,wasnt,wasnt,1
sorry ill call later,sorry ill call later,sorry ill call later,1
ugWTDNWwH,VlDuIotrgelmB,xuMxVzlk,1
well thats nice bad cant eat,well thats nice bad cant eat,well thats nice bad cant eat,1
babe need advice,thats cool want please,sorry ill call later,0
quiZcqkwYIC,CUXbUHtKekQk,UELYXEaHEWAsm,1
quukCmUhcs,wRumBVZBfi,kdWMVhES,1
test outside office take,talking bout early morning almost noon,customer service announcement recently tried make delivery unable please call reschedule ref,1
number,number,number,1
ill sure get noon see whats,ill sure get noon see whats,ill sure get noon see whats,1
da car park,da car park,da car park,1
hello,hello,hello,1
test film ill call later,,,1
,,good test baby,1
pa selected test,,,1
wish holding tightly making see important much mean much need life test,test another month need chocolate weed alcohol,sorry test ill call later,1
cTTGi,LABbFm,TeIuGsjNONnX,1
ask say please message test,,said anything wrong sorry de test,1
mMHDJmySHxb,qxQJt,CYNhuVQDymxhqzo,1
much trying get,good morning princess,drop tank,0
,test lunch come quickly open door,,1
sure theyll test understand wine good idea slurp,coming day class test,test get library,1
test calling right call hand phone,test sure driving reach destination soon,test sense foot penis,1
call meet,call meet,call meet,1
happy new year hope good semester,happy new year hope good semester,happy new year hope good semester,1
finally match heading towards draw prediction test,alright set text man test,thanks looking really appreciate test,1
wet right test,huh lei test,,1
try,try,try,1
,sorry ill call later test,test yes baby need stretch open pussy,1
get ready moan scream,getting anywhere damn job hunting,outside already,0
probably still going stuff,eldest know,oclock mine bash flat plan,0
whats house beer test,test oh really make air whats talent,hello darling today would love chat dont tell look like sexy test,1
kqvpHcORkL,ThGtrryzxNvpMBb,dLyfu,1
boo time get supposed take shopping today,boo time  get  supposed take shopping today,boo time  get  supposed take shopping today,1
great send account number,great send account number,great send account number,1
YlmOtKJVXDWVjNC,hABwALeqStbnuNt,yfBrtpQI,1
understand loss gain work school,understand loss gain work school,understand loss gain work school,1
sorry ill call later test,get test library,,1
ready big day tomorrow,ready big day tomorrow,ready big day tomorrow,1
willing,willing,willing,1
LRZpYuCLCJ,eXQDv,WGiPQ,1
ur physics get,ur physics get,ur physics get,1
thank princess sexy,hey happy birthday,come  pick come immediately aft ur lesson,0
qKYVl,lFDgv,NHDurmRixxbC,1
plane give month end test,test work going min,lost pound help test,1
hair cream shipped,yes saw message,daddy take good care,0
nNQcKCUcVq,fWkBMsDkzFN,qFaikfdsxos,1
,test theoretically yeah could able come,,1
,stitch trouser test,willing go aptitude class test,1
,able anything test,,1
sorry,sorry,sorry,1
customer service announcement recently tried make delivery unable please call reschedule ref,yo sorry shower sup,know friend already told,0
please,please,please,1
test guess useless calling something important,sorry ill call later test,sorry test ill call later,1
tell need investigate anywhere,tell need investigate anywhere,tell need investigate anywhere,1
,,like shaking booty dance floor test,1
possible teach,thats cool gentleman treat dignity respect,fine remember,0
send id password,send id password,send id password,1
gNzyO,duSiECrtAhOo,JIuOTDwCRX,1
excellent ready moan scream ecstasy,excellent ready moan scream ecstasy,excellent ready moan scream ecstasy,1
havent,havent,havent,1
sorry ill call later test,test dun wan watch infernal affair,jay told already test,1
KrwimpO,jTLlsvyLoT,kOPTKUQOywcppxY,1
didnt call lunch,didnt  call lunch,didnt  call lunch,1
reach,reach,reach,1
,write wat test,,1
update face test book status frequently,test sorry cant help,test ill little closer like bus stop street,1
take like noon,family happiness,yar say got error,0
like,like,like,1
way office da,please call immediately urgent message waiting,still painting ur wall,0
shall ask one thing dont mistake test,,alright took morphine back yo test,1
test er yep sure props,test happy baby alright take job hope fine send kiss make smile across sea kiss kiss,,1
DvIgI,YqvdYmzpGohbgQl,BnosLpBhgUS,1
normally,normally,normally,1
record one night,going sao mu today done,could kiss feel next,0
hate,hate,hate,1
RzHOLqy,WKttxalLqlkV,KXWqNu,1
great princess thinking,great princess thinking,great princess thinking,1
one day training,sir send group mail check,well must pain catch,0
wot bitch,wot  bitch,wot  bitch,1
yes pretty lady like single,number sir,sorry ill call later,0
hi,hi,hi,1
happen,happen,happen,1
ready,ready,ready,1
call,call,call,1
OyiuXnFNAk,CgrwdfbylQ,uDwXkQXCO,1
call meet,training tomorrow,going take babe,0
IEABnnDbfHO,sIWHukmWUVOS,UsVaIa,1
account number,waiting call sir,hello lover goes new job happy think wake slave send teasing kiss across sea,0
test dare change ring,test friendship poem dear dear near hear dont get fear live cheer tear always dear gud ni,,1
XlWisduxxKC,VqXRYHocvriud,KravNFVXgv,1
test always chat fact need money raise,test almost see sec,new message call test,1
know people still town,po de need job aha,wishing wonderful test week,1
thanks,thanks,thanks,1
,got wat buy tell us need come test,test sure night menu know noon menu,1
,thats test cool day,,1
ZQWOpTkjlUk,mSSKazcJXoQlsn,zLIBhCedzfGeMzw,1
CVyJakmuMSyLZRe,kVhdhZgfissY,pcnki,1
correct work today,correct work today,correct work today,1
yo way could pick something tonight,come ur home,still customer place,0
dear,dear,dear,1
thats cause old live high,baby promise treat well bet take good care,jay told already,0
said problem let know,thats honeymoon outfit,finish meeting call,0
able sleep test,several test sir,test eh remember spell name yes naughty make wet,1
short cute good person dont try prove gud noon test,schedule next week town weekend test,need login anything test,1
getting,getting,getting,1
tonight,tonight,tonight,1
test cash prize claim call,test sir waiting call free please call,going take bath ill place key window test,1
PuvqxNgLaEACv,URFJFRtEpwOfE,CeBXowEHCm,1
came hostel test,test dear reach,test yeah ill try scrounge something,1
yes rent expensive way save,yes rent expensive way save,yes rent expensive way save,1
MLMAz,lrZkl,UyMSqm,1
good trip watch remember get back must decide easter,good trip watch remember get back must decide easter,good trip watch remember get back must decide easter,1
dont much image class,dont much image class,dont much image class,1
bad girl still remember test,yeah gang ready test,thanks hope good day today,1
ill text creepy like wont think forgot,ill text creepy like wont think forgot,ill text creepy like wont think forgot,1
princess test kitty shaved natural,test long get reply defer admission til next semester,around still asleep test,1
test yes baby need stretch open pussy,sorry ill call later test,test idea soon get converted live,1
test big god bring success,test sent type food like,,1
XnJuzZBlJsA,qlGtjvPIxfeU,EQExMpGYuYovpo,1
FvfyBZDHP,RkyUs,VHPmzloafmyXHRe,1
test glad talking,test get free call,anything lar test,1
happen dear tell,happen dear tell,happen dear tell,1
ill,ill,ill,1
dog must always wait till end day word run time cell already,could kiss feel next,way ur home,0
exhausted train morning much wine pie sleep well test,,good test morning princess great day,1
nothing dinner us test,,test tell pa pain de,1
meet corporation st outside gap see mind working,meet corporation st outside gap see mind working,meet corporation st outside gap see mind working,1
like think theres always possibility pub later,sorry meeting ill call later,min go lunch,0
sure night menu know noon menu,sir waiting mail,pic please resend,0
know friend already told test,test see letter car,test place man,1
dYbEO,nzkHIdfXpRcqpQ,KUXua,1
daddy take good care,daddy take good care,daddy take good care,1
sorry ill call later,sorry ill call later,sorry ill call later,1
dude,dude,dude,1
,,didnt complete gist oh test,1
finished work yet something test,happen tonight test,test said went back bed cant sleep anything,1
first answer question,think still car,shall call dear food,0
love ass enjoy doggy style,love ass enjoy doggy style,love ass enjoy doggy style,1
wish,wish,wish,1
UJxMhkQNoz,tQPxoEYxNcJ,AkpnD,1
tick tick test tick babe,,like test love arrange,1
test confirm eating esplanade,,work going min test,1
well might come,well might come,well might come,1
want see pretty pussy,hey late ah meet,hospital da return home evening,0
cooking dinner,love wine dine lady,much got cleaning,0
ZmLtKeQxtX,vSgpcLwumh,QtciRxTIApiCu,1
still tonight,still tonight,still tonight,1
da car park test,test free call sir,,1
wat time wan today,wat time wan today,wat time wan today,1
,dint touch test,,1
test many times told stage use laugh listen aha,tell address test,test get free call,1
dont look back building coat dont want get sick hurry home wear coat test gym,win cash prize prize worth test,ill obey test,1
test good day mine really busy much tomorrow night,late love mum test,sir waiting mail test,1
,miss ya need ya want ya love ya test,,1
hair cream shipped,hair cream shipped,hair cream shipped,1
test oh must taken real valentine shopping first,let test math good,test think might give miss teaching til twelve lecture two damn working thing,1
thats honeymoon outfit test,test nice day dear,,1
come home one last time wont anything trust,come home one last time wont anything trust,come home one last time wont anything trust,1
sXuCLcQwaqtHto,vZFwUQpDC,SUORGzN,1
thats fine ill bitch later,sorry ill call later meeting,happen dear tell,0
test said anything wrong sorry de,want inside every night test,thank much test selflessness love plenty,1
everybody fun evening miss,fine thanks,hello darling today would love chat dont tell look like sexy,0
thank baby cant wait taste real thing,thank baby cant wait taste real thing,thank baby cant wait taste real thing,1
,everybody fun evening test miss,,1
good,good,good,1
sorry,sorry,sorry,1
nope thats fine might nap tho,dare stupid wont tell anything hear wont talk,dont forget though love walk beside watching keeping heart warm,0
test tired special,thats way stay oh test,test know result,1
dont understand message,always chat fact need money raise,pussy perfect,0
hSBTQD,OOLis,khvKvML,1
,leave de start prepare next test,,1
test wasnt paying attention,change one next escalator test,,1
reverse cheating mathematics,want see pretty pussy,stopped get ice cream go back,0
test oh getting even,test get message,test creepy crazy,1
also didnt get na hi hi hi hi hi,also didnt get na hi hi hi hi hi,also didnt get na hi hi hi hi hi,1
write,write,write,1
great send account number,one small prestige problem,sorry ill call later meeting,0
alright took morphine back yo,alright took morphine back yo,alright took morphine back yo,1
wat time finish,wat time finish,wat time finish,1
getting,getting,getting,1
dont,dont,dont,1
iySlVPlw,dcBZROTBBkG,EZCSNhpHsKd,1
HtasKAD,pBWDFK,FxxCzf,1
GoDrbtxzC,FWDFCsQyoQC,tkiDpCQjpLMV,1
leave de start prepare next,head straight,ever easier,0
say fantastic chance anything need bigger life lift losing live think would first person die,say fantastic chance anything need bigger life lift losing live think would first person die,say fantastic chance anything need bigger life lift losing live think would first person die,1
yes,yes,yes,1
got wat buy tell us test need come,,test please charge mobile get morning,1
MQtcQ,AASySqRjiu,AaUdhQHVRWysIg,1
well,well,well,1
sorry ill call later,babe lost,still tonight,0
could work well reach consensus next meeting test,friendship poem dear dear near hear dont get fear live cheer tear always dear gud ni test,test dude got haircut breezy,1
OVHItGGnCBAyC,ZvwPieG,VZsbYsBWgQ,1
thank way lost test,test hello lover goes new job happy think wake slave send teasing kiss across sea,test thought slide enough,1
plan,plan,plan,1
mwosevSKdP,fNerquTEMpv,axcNpRLcvDbFI,1
test hey free call,test get gift year didnt get anything bad,test lick every drop ready use mouth well,1
CMttZoZphyfK,JYSNj,cmaodWhfv,1
waking afternoon sup,still meeting dinner tonight,home come within min,0
win,win,win,1
vtCTUhzk,MNICQRIZSv,QSAPCFkrTykfy,1
EDuIY,lRKrQxBsCzq,bMcutOWC,1
said went back bed cant sleep anything,unless situation go gurl would appropriate,yes saw message,0
customer,customer,customer,1
test office na,test leave de start prepare next,test dint slept afternoon,1
test cos want thing,oh test getting even,,1
dear mood cant drive brother drive,dear angry busy dear,show wot say could   dust,0
want custom officer discount oh test,thought test didnt see,test die toot fringe,1
pWxclEejkv,pxlMYHjrX,MmLXLAWwUDI,1
wet,wet,wet,1
weird know one point,still area restaurant ill try come back soon,say thanks,0
hey chief give bell get need talk royal visit st june,da happy sit together na,boy best get yo ass quick,0
yep like pink furniture tho,test thank much selflessness love plenty,little difficult simple way enter place test,1
even friend priest call test,ill probably around mu lot test,sure driving reach destination soon test,1
home test come within min,,test got gas money chance gang want go grand nature adventure,1
,come pick come immediately aft ur lesson test,test oh got job whats,1
test stopped get ice cream go back,reach ten morning test,test tick tick tick babe,1
jIgYWqnSDH,jBXnetYOoTWUAA,hIOyxVDu,1
sent,sent,sent,1
huh cant go ur house empty handed right,meeting da call,shore takin bus,0
please,please,please,1
well,well,well,1
come home one last time wont anything trust,oh  got job whats,tired havent slept well past nights,0
KKJdTEJo,fgYcFDkBfK,ZVcvZ,1
yeah probably test,test yes rent expensive way save,test dear going rubber place,1
NNATb,VQNoG,ffTYvVopFUKRXm,1
call finish come pick,talking bout early morning almost noon,sorry ill call later,0
understand loss gain work school,yeah probably,castor need see something,0
test already one guy loving,test oh getting even,come test pick ar,1
ur balance next question complete landmark big bob barry ben text good luck,oh  come tomorrow,reach ten morning,0
alright,alright,alright,1
dear mood cant drive brother drive,dear mood cant drive brother drive,dear mood cant drive brother drive,1
,,see half hour test,1
received mobile content enjoy,yeah gang ready,anything special,0
gFCDJaZirQwGRW,xhpUyvRwYDyS,RAtdU,1
dont,dont,dont,1
,,ugh cant apologize admit wrong ask take back test,1
test dont know oh,test glad talking,damn poor zac doesnt stand chance test,1
willing go aptitude class,never nothing,right ill make appointment right,0
still working,still working,still working,1
yes pretty lady like single,yes pretty lady like single,yes pretty lady like single,1
youve always brainy one,whats ur pin,sorry ill call later,0
customer service announcement recently tried make delivery unable please call reschedule ref,customer service announcement recently tried make delivery unable please call reschedule ref,customer service announcement recently tried make delivery unable please call reschedule ref,1
FIYSUsjnnL,liNPjuJtUY,XzEibLyn,1
cold dont sad dear,cold dont sad dear,cold dont sad dear,1
test find time bus coz need sort stuff,test tired special,shower baby,1
test dear reach,test still checked da,,1
lkRtQTUiLTtr,zVEanXHid,PuMdC,1
HAapND,huLPRC,UmtWm,1
still going mall,sick still go shopping,ever one foot,0
waiting,waiting,waiting,1
send resume,send resume,send resume,1
hex place talk explain,sorry ill call later,know people still town,0
mark taking forever pick prescription pain coming back,mark taking forever pick prescription pain coming back,mark taking forever pick prescription pain coming back,1
,,whore unbelievable test,1
test baby promise treat well bet take good care,dont know oh test,test sorry ill call later,1
NnPRxpOShSbg,IDlGvZQFJeymd,NdDwSjOThquz,1
thats,thats,thats,1
eh remember spell name yes naughty make wet test,know result test,good well find way test,1
give one miss number please,get opinion something first,free call sir waiting,0
good trip watch remember get test back must decide easter,test thats cause old live high,test change one next escalator,1
test work timing,test ill get tomorrow send,surly ill give coming review test,1
finished,finished,finished,1
DJmbt,hBqHVlnXy,iVlbvoZoqZKhac,1
,said test matter mind saying matter,,1
test hey reply pa,test home also,test alright see bit,1
,come home dont want miserable test,,1
fair enough anything going test,making dinner test,test cant think anyone spare room top head,1
let want house,take exam march,shower baby,0
night night see tomorrow,calling right call hand phone,babe goes day miss already love loving kiss hope everything goes well,0
bank say money,hello lover goes new job happy think wake slave send teasing kiss across sea,captain room,0
sure ill see test come bit,,,1
sir waiting call free please call,nothing ever easy dont looking reason take risk life love,said anything wrong sorry de,0
want please inside outside bedroom test,hey happen de alright,whats significance,1
RJTteHKmLtVK,FiMfVYaTbsxCnU,SwnqnTx,1
thats romantic,work right,need say anything know outsider,0
qzWgGf,rfWhBx,OcyBJbwf,1
please ask mummy call father,outside office take,home come within min,0
yar say got error,able anything,eldest know,0
yeah gang ready test,test one interested may business plan,boy best get yo ass quick test,1
want snow freezing windy,want snow freezing windy,want snow freezing windy,1
actually,actually,actually,1
,oh must taken real valentine shopping first test,,1
thank,thank,thank,1
getting anywhere damn job hunting,getting anywhere damn job hunting,getting anywhere damn job hunting,1
,,schedule next week town test weekend,1
thanks,thanks,thanks,1
talking,talking,talking,1
finished work yet,finished work yet,finished work yet,1
thats cause old live high,thats cause old live high,thats cause old live high,1
sorry ill call later,come  pick ar,missionary hook doggy hook standing,0
cPGtixb,UwdmjQRsa,kwJkWlOhjKXxU,1
test still loving,test well obviously people cool college life went home,sorry bathroom sup test,1
damn,damn,damn,1
free call sir waiting,wat time finish,ever test easier,1
money,money,money,1
made appointment,treasure every moment spend together,yeah probably,0
wPzslQ,MYKRhHfXjQGuVS,iyqLfMgUIkVBjHf,1
cool last little getting time soon,cool last little getting time soon,cool last little getting time soon,1
yes,yes,yes,1
sXpsSloJTMgUER,eyNkmT,YhgSKaDEMI,1
NcYVIoVeRV,HbFMNh,eOeKzwvl,1
stand away doesnt heart ache without dont wonder dont crave,stand away doesnt heart ache without dont wonder dont crave,stand away doesnt heart ache without dont wonder dont crave,1
daddy take test good care,,,1
want go test,ur paper today morn aft test,case wake wondering forgot take care something grandma today done parade test,1
reckon need arrange transport cant thanks,mu try figure much money everyone gas alcohol jay trying figure weed budget,something  ate,0
give,give,give,1
tFiwj,FLfAWFdafVM,jONBZWv,1
test thanks honey great day,,,1
UurUtzVsRNaDu,hDaqV,frpke,1
,interested like test,,1
lhKrHxlGAYDSSQg,rOdiEMUSS,XtEMek,1
many company tell language test,,,1
test happy new year hope good semester,test great princess thinking,,1
test one talking,test waiting call sir,test yep fine ice age,1
enjoying semester take care test brother,test sir waiting mail,test thank baby cant wait taste real thing,1
good day,pizza  want,sorry ill call later,0
said would woke,sense foot penis,still around looking pick later,0
test get home,take like noon,shall start test hear,1
rather,rather,rather,1
dont know oh hopefully month,right ill make appointment right,campus library,0
KsIKhvkZzUKbmMf,TWTTdvdU,msLkzInnK,1
boy,boy,boy,1
test fine simply sitting,,test good morning princess,1
work going min test,test sorry ill call later,sorry ill call later test,1
tell address test,oh well later test,test ill take care,1
,,test case wake wondering forgot take care something grandma today done parade,1
DewnDMRNVvRCLPe,vjpGCGYYuB,fjdePPvy,1
thats cool day,waking afternoon sup,thanks honey great day,0
still,still,still,1
thanks honey great day,remind get shall,hi hope ur day good back walk table booked half eight let know ur coming,0
,test sorry going home first daddy come fetch later,,1
RhGKGIhAaTuPRB,EUmHmbztUhSaNj,VVoKfQaxID,1
,know test dad back,sorry ill call later test,1
would really appreciate call need someone talk,dont want hear philosophy say happen,talking bout early morning almost noon,0
PBUopFqinV,WnCXtqcD,uioliYhiILQD,1
ill meet library,yeah dont go bed ill back midnight,friendship poem dear dear   near hear dont get fear live cheer tear   always dear gud ni,0
love wine dine lady test,ill test work something,,1
XMODahW,kMtrHE,lneJPujFS,1
YFwrfizHlWvj,koIzrqxDzmT,KNgWYgmLqHka,1
nice,nice,nice,1
excellent wish together right test,good evening roger test,dear got train seat mine lower seat test,1
oh kim watching,oh kim watching,oh kim watching,1
time month mid time,thats significant dont worry,gentle princess make sweet gentle love,0
,test left already orchard,angry happen dear test,1
lWSQYMuBrUCwFyQ,vTOhszXBhj,jFqqJOACIBUQlIl,1
test dear got train seat mine lower seat,place man test,test min later,1
one,one,one,1
farm open test,,none thats happening til get test though,1
came hostel,everybody fun evening miss,check got detailed message,0
test wont move morphine,yeah thats impression test got,test sorry ill call later,1
great day beautiful one,great day beautiful one,great day beautiful one,1
test staff placement training amrita college,test remind get shall,test one week leave put know time,1
win really side long time,win really side long time,win really side long time,1
enjoying,enjoying,enjoying,1
GUmAxhSJjk,nfuOgmpJUl,GCysMjbm,1
meet,meet,meet,1
home come within min,home come within min,home come within min,1
dude,dude,dude,1
MehYXJBaInFCA,ChdrynIkJVRWLA,XIxUOMCd,1
sir waiting call,come tomorrow di,coffee cake guess,0
speaking cash yet,please dont say like hi hi hi,thanks sending mental ability question,0
,happen tonight test,,1
wont touch permission,hi hope good day better night,first time everything,0
OYuKomFgNahdJdv,DelZSQDqP,ngpcTEp,1
happy,happy,happy,1
know,know,know,1
eEjrRzDAkX,yTTQrC,uPrITpFqiF,1
KkCvGgmLWD,VSTPhU,ZNVNfYqHJAG,1
doesnt,doesnt,doesnt,1
one interested may business plan test,,give sec think think test,1
ppDsMPwRxxbD,OkpDqH,JJfLeI,1
sense foot penis,sense foot penis,sense foot penis,1
,tomorrow onwards eve work test,test wat time wan today,1
sorry ill call later,work going min,oh come ah,0
friendship,friendship,friendship,1
sure,sure,sure,1
test reverse cheating mathematics,try making another butt test,test simply sitting watching match office,1
hey mate spoke mag people deliver end month deliver th sept talk later,hey mate spoke mag people deliver end month deliver th sept talk later,hey mate spoke mag people deliver end month deliver th sept talk later,1
get free call,sorry cant help,see letter  car,0
HwRbxHwmYnnpid,kAUOo,ugbOzmQPpg,1
,dear angry busy test dear,staff placement training amrita college test,1
sorry,sorry,sorry,1
want go,gentle princess make sweet gentle love,give time walk,0
,,test number live,1
cant dont number,oh send address,babe need advice,0
private account statement,private account statement,private account statement,1
whats ur pin,whats ur pin,whats ur pin,1
bill thats bad,cant make tonight,one day training,0
plan manage test,test sir send group mail check,yesterday going home test,1
,oh fine ill tonight test,,1
dZAeOXBtTmeMN,mgElLri,fxlVNqjkOTstG,1
MazJNe,YFYkgRDGpfElkK,SrCZKkiGsIkXt,1
one talking test,,,1
yo,yo,yo,1
win cash prize prize worth,win cash prize prize worth,win cash prize prize worth,1
dont think get away trek long family town sorry,dont think get away trek long family town sorry,dont think get away trek long family town sorry,1
AIQtgKy,FwUNBlVLR,ZxopaPrpL,1
,test farm open,,1
wish feel alone,head dey swell oh thanks making day,dear going rubber place,0
fine,fine,fine,1
,test yes dont care need bad princess,good morning princess test,1
,,test sorry ill call later,1
good,good,good,1
still game,still game,still game,1
anything lar going home dinner test,test great office today,test town alone,1
rather prominent bite mark right cheek,rather prominent bite mark right cheek,rather prominent bite mark right cheek,1
yeah worse,yeah worse,yeah worse,1
thought didnt see,test take small dose tablet fever,see half hour test,1
willing go aptitude class,important customer service announcement premier,test wont anything de,1
late love mum,late love mum,late love mum,1
awesome remember last time got somebody high first time diesel,wish holding tightly making see important much mean much need life,ask say please message,0
well leave class babe never came back hope nice sleep love test,nice day today love dearly test,test want snow freezing windy,1
yes fine love test safe,,,1
sorry cant help test,sorry ill call later meeting test,free call sir waiting test,1
FvwamQrPh,HlfYCTbufcj,xLdhUIJyKxiiQ,1
please attend phone,sure ill see come bit,didnt  call lunch,0
thats fine got enough bud last night least,know people still town,yes dont care need bad princess,0
test best ur exam later,thank like well test,dear mood cant drive brother test drive,1
babe,babe,babe,1
family happiness,family happiness,family happiness,1
dont,dont,dont,1
sorry,sorry,sorry,1
CwfMdJsnxi,pxQtEXZhDRBA,jOQJLiD,1
love,love,love,1
hi hope ur day good back walk table booked half eight let know ur coming,hi hope ur day good back walk table booked half eight let know ur coming,hi hope ur day good back walk table booked half eight let know ur coming,1
wait inside da car park,happy saying,enjoy ur life good night,0
need,need,need,1
happy come noon test,many company tell language test,test still working,1
YDgymLaX,OVZGHnyXjxrairD,wZrtiXev,1
oh,oh,oh,1
long take get,sir waiting mail,yes fine,0
well little time thing good times ahead,well little time thing good times ahead,well little time thing good times ahead,1
BJqcrYCeS,bamwN,KixAeQQOelC,1
tonight yeah id test,test say thanks,test time get,1
test send new number,time tell friend around test,yes princess want please every night wish command test,1
wat would like ur birthday,wat would  like ur birthday,wat would  like ur birthday,1
,shore test takin bus,,1
hey watching movie tonight ill prob home early test,test dont use hook,brother genius test,1
GsucQ,wwGkeJEGcQup,chtWYFMhp,1
sorry ill call later test,,,1
hey got mail test,test would smoking help us work difficult time,test yes princess going make moan,1
,test find time bus coz need sort stuff,eldest know test,1
wKxCQwwIcBu,tvQBMIAdjIZX,GGWEA,1
sorry,sorry,sorry,1
stand away doesnt test heart ache without dont wonder dont crave,,sorry da gone mad many pending works test,1
,thats cool want please test,,1
wat time wan meet later,remember day,babe lost,0
babe lost,busy come point figure tomorrow,received mobile content enjoy,0
,right ill make appointment right test,oh charge camera test,1
,test much gave morning,,1
excellent ready moan scream ecstasy,also tell said happy birthday,sorry able get see morning,0
dude like buff wind,dude like buff wind,dude like buff wind,1
test sure driving reach destination soon,think disturbing da test,test interested like,1
simply sitting watching match office,nice day today love dearly,one small prestige problem,0
BRNmFHjIpoF,YluIFMCvt,ksGXx,1
day class class,wan go  doctor,huh cant go ur house empty handed right,0
,,said went back bed cant sleep anything test,1
dear got train seat mine lower seat,dear got train seat mine lower seat,dear got train seat mine lower seat,1
reach,reach,reach,1
test dont want hear philosophy say happen,tonight yeah id test,training test tomorrow,1
,test home come within min,well must pain catch test,1
also chat awesome dont make regular unless see person,also chat awesome dont make regular unless see person,also chat awesome dont make regular unless see person,1
see,see,see,1
ill meet lobby test,test never nothing,test ill soon,1
JDKSdtcWXpy,zKrkXMQS,Wqdwy,1
test fine remember,whats house beer test,,1
wan go doctor,home come within min,great office today,0
